max_player_depth;min_player_depth;avg_time;won;lost;draw;total_st_max_pl;total_st_min_pl;if_ab_cut_max_pl;if_ab_cut_min_pl
6;2;0.4196281433105469;0;0;1;5520;921;True;True
6;2;1.8088953495025635;0;0;1;22114;2556;True;False
6;2;1.8131568431854248;0;0;1;22114;2556;False;True
6;2;1.855729341506958;0;0;1;22114;2556;False;False
6;3;1.367096185684204;0;0;1;31634;4182;True;True
6;3;10.521617412567139;0;0;1;235378;25992;True;False
6;3;10.539677858352661;0;0;1;235378;25992;False;True
6;3;10.481805324554443;0;0;1;235378;25992;False;False
6;4;2.0409302711486816;0;0;1;68746;8357;True;True
6;4;18.294590711593628;0;0;1;619858;66312;True;False
6;4;18.128501176834106;0;0;1;619858;66312;False;True
6;4;18.02175784111023;0;0;1;619858;66312;False;False
6;5;2.02467679977417;0;0;1;68746;8357;True;True
6;5;18.140194177627563;0;0;1;619858;66312;True;False
6;5;18.16742181777954;0;0;1;619858;66312;False;True
6;5;17.98168182373047;0;0;1;619858;66312;False;False
6;6;2.0510094165802;0;0;1;68746;8357;True;True
6;6;18.175333976745605;0;0;1;619858;66312;True;False
6;6;18.05909037590027;0;0;1;619858;66312;False;True
6;6;17.95308256149292;0;0;1;619858;66312;False;False
6;7;2.0169191360473633;0;0;1;68746;8357;True;True
6;7;18.107979774475098;0;0;1;619858;66312;True;False
6;7;18.184221506118774;0;0;1;619858;66312;False;True
6;7;17.993657112121582;0;0;1;619858;66312;False;False
6;8;2.103243350982666;0;0;1;68746;8357;True;True
6;8;18.186717987060547;0;0;1;619858;66312;True;False
6;8;18.173141479492188;0;0;1;619858;66312;False;True
6;8;17.994883060455322;0;0;1;619858;66312;False;False
6;9;2.088824510574341;0;0;1;68746;8357;True;True
6;9;18.13334846496582;0;0;1;619858;66312;True;False
6;9;18.092227458953857;0;0;1;619858;66312;False;True
6;9;18.261623859405518;0;0;1;619858;66312;False;False
7;0;0.009518146514892578;1;0;0;28;3;True;True
7;0;0.00712132453918457;1;0;0;28;3;True;False
7;0;0.009075164794921875;1;0;0;28;3;False;True
7;0;0.006573677062988281;1;0;0;28;3;False;False
7;1;0.060292720794677734;0;0;1;492;92;True;True
7;1;0.12445545196533203;0;0;1;950;124;True;False
7;1;0.12480401992797852;0;0;1;950;124;False;True
7;1;0.11342358589172363;0;0;1;950;124;False;False
7;2;0.4452080726623535;0;0;1;5520;921;True;True
7;2;1.7758612632751465;0;0;1;22114;2556;True;False
7;2;1.801830530166626;0;0;1;22114;2556;False;True
7;2;1.8240716457366943;0;0;1;22114;2556;False;False
7;3;1.3747775554656982;0;0;1;31634;4182;True;True
7;3;10.542126178741455;0;0;1;235378;25992;True;False
7;3;10.685895204544067;0;0;1;235378;25992;False;True
7;3;11.015960931777954;0;0;1;235378;25992;False;False
7;4;2.038770914077759;0;0;1;68746;8357;True;True
7;4;18.205284595489502;0;0;1;619858;66312;True;False
7;4;18.202128648757935;0;0;1;619858;66312;False;True
7;4;18.014177560806274;0;0;1;619858;66312;False;False
